0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,
0,HeartMode,1,,,,,
0,TLPause,,,,,,


0.8,BoneVRepeat,128,365,30,0,130,1,20,
0,BoneVRepeat,512,365,30,2,130,1,20,
0.6,BoneVRepeat,128,300,100,0,140,1,20,1
0,BoneVRepeat,512,300,100,2,140,1,20,1


0.8,BoneVRepeat,128,365,30,0,130,1,20,
0,BoneVRepeat,512,365,30,2,130,1,20,
0.6,BoneVRepeat,128,300,100,0,140,1,20,1
0,BoneVRepeat,512,300,100,2,140,1,20,1


0.8,BoneVRepeat,128,365,30,0,130,1,20,
0,BoneVRepeat,512,365,30,2,130,1,20,
0.6,BoneVRepeat,128,300,100,0,140,1,20,1
0,BoneVRepeat,512,300,100,2,140,1,20,1


0.8,BoneVRepeat,128,365,30,0,130,1,20,
0,BoneVRepeat,512,365,30,2,130,1,20,
0.6,BoneVRepeat,128,300,100,0,140,1,20,1
0,BoneVRepeat,512,300,100,2,140,1,20,1


0.8,BoneVRepeat,128,365,30,0,130,1,20,
0,BoneVRepeat,512,365,30,2,130,1,20,
0.6,BoneVRepeat,128,300,100,0,140,1,20,1
0,BoneVRepeat,512,300,100,2,140,1,20,1


0.8,BoneVRepeat,128,365,30,0,130,1,20,
0,BoneVRepeat,512,365,30,2,130,1,20,
0.6,BoneVRepeat,128,300,100,0,140,1,20,1
0,BoneVRepeat,512,300,100,2,140,1,20,1


0.8,BoneVRepeat,128,365,30,0,130,1,20,
0,BoneVRepeat,512,365,30,2,130,1,20,
0.6,BoneVRepeat,128,300,100,0,140,1,20,1
0,BoneVRepeat,512,300,100,2,140,1,20,1


0.8,BoneVRepeat,128,365,30,0,130,1,20,
0,BoneVRepeat,512,365,30,2,130,1,20,
0.6,BoneVRepeat,128,300,100,0,140,1,20,1
0,BoneVRepeat,512,300,100,2,140,1,20,1


0.8,BoneVRepeat,128,365,30,0,130,1,20,
0,BoneVRepeat,512,365,30,2,130,1,20,
0.6,BoneVRepeat,128,300,100,0,140,1,20,1
0,BoneVRepeat,512,300,100,2,140,1,20,1


2,EndAttack,,,,,,
