0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0.2,BoneVRepeat,128,257,110,0,100,15,100
0,BoneVRepeat,503,257,110,2,100,15,100
0.5,BoneVRepeat,503,356,30,2,100,15,100
0,BoneVRepeat,128,356,30,0,100,15,100
2,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,
1,BoneStab,1,30,0,0,,,,

1,EndAttack,,,,,


