0,CombatZoneResize,103,251,538,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,BoneStab,3,55,0.3,40,,,,
0,BoneStab,1,15,2,40,,,,
0,PlatformRepeat,-20,370,30,0,80,79,80,1,
0.6,BoneVRepeat,78,345,100,0,80,80,80
0,BoneVRepeat,78,310,20,0,80,80,80


1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
1.5,GasterBlaster,0,640,160,499,340,180,0,0
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,$HeartX,0,$HeartX,200,90,0,0
0,EndAttack,,,,,,,
